2.jpg	[[[[126.0, 262.0], [198.0, 274.0], [195.0, 291.0], [123.0, 280.0]], ('’„œÛ”Ê25237', 0.5442101)]]
1162.jpg	[[[[285.0, 550.0], [557.0, 532.0], [559.0, 569.0], [288.0, 588.0]], ('¬≥Ω∫”Ê60106', 0.9713269)]]
1165.jpg	[[[[349.0, 355.0], [449.0, 338.0], [453.0, 365.0], [354.0, 382.0]], ('‘¡Ω≠≥«”Ê92278', 0.9407802)]]
1166.jpg	[[[[36.0, 541.0], [242.0, 605.0], [227.0, 655.0], [20.0, 591.0]], ('√ˆΩ˙”Ê05697', 0.77203125)]]
1169.jpg	[[[[320.0, 446.0], [442.0, 445.0], [442.0, 476.0], [320.0, 477.0]], ('À’∆Ù”Ê‘À08266', 0.9743182)]]
1171.jpg	[[[[439.0, 216.0], [999.0, 312.0], [983.0, 408.0], [422.0, 312.0]], ('’„·∑”Ê04875', 0.6843244)]]
1172.jpg	[[[[0.0, 161.0], [155.0, 133.0], [165.0, 192.0], [9.0, 220.0]], ('√ˆΩ˙”Ê05367', 0.6527867)]]
1177.jpg	[[[[165.0, 469.0], [255.0, 460.0], [257.0, 486.0], [167.0, 495.0]], ('À’∆Ù”Ê02211', 0.950367)]]
1178.jpg	[[[[185.0, 351.0], [435.0, 382.0], [429.0, 427.0], [179.0, 396.0]], ('‘¡ƒœ∞ƒ”Ê1333', 0.8888983)]]
1179.jpg	[[[[214.0, 409.0], [503.0, 470.0], [492.0, 524.0], [202.0, 463.0]], ('√ˆΩ˙”Ê05968', 0.8761857)]]
1181.jpg	[[[[358.0, 203.0], [571.0, 234.0], [564.0, 276.0], [352.0, 245.0]], ('ΩÚÃ¡”Ê03896', 0.9619448)]]
1182.jpg	[[[[83.0, 641.0], [329.0, 637.0], [330.0, 694.0], [84.0, 698.0]], ('¬≥»’…Ω”Ê63026', 0.9351525)]]
1184.jpg	[[[[138.0, 235.0], [357.0, 288.0], [344.0, 340.0], [125.0, 288.0]], ('‘¡—ÙŒ˜”Ê39768', 0.87737775)]]
1185.jpg	[[[[177.0, 660.0], [550.0, 654.0], [551.0, 718.0], [178.0, 723.0]], ('¬≥≥«”Ê61292', 0.9475696)]]
1186.jpg	[[[[207.0, 210.0], [361.0, 184.0], [367.0, 218.0], [212.0, 243.0]], ('’„∂¥”Ê30065', 0.8456898)]]
1187.jpg	[[[[142.0, 144.0], [303.0, 162.0], [300.0, 189.0], [139.0, 171.0]], ('√ˆ ®”Ê07568', 0.9304111)]]
1190.jpg	[[[[65.0, 47.0], [259.0, 63.0], [257.0, 98.0], [62.0, 82.0]], ('π∫œ”Ê23186', 0.93287313)]]
1191.jpg	[[[[609.0, 311.0], [692.0, 334.0], [681.0, 371.0], [599.0, 348.0]], ('‘¡¿◊”Ê13888', 0.6725405)]]
1194.jpg	[[[[289.0, 235.0], [408.0, 259.0], [402.0, 288.0], [284.0, 265.0]], ('µ§∫£±ﬂ√≥508', 0.92687684)]]
1199.jpg	[[[[79.0, 385.0], [286.0, 424.0], [279.0, 462.0], [71.0, 423.0]], ('‘¡ƒœ∞ƒ”Ê33190', 0.83186466)]]
1205.jpg	[[[[223.0, 360.0], [375.0, 372.0], [373.0, 405.0], [221.0, 393.0]], ('À’∏””Ê02077', 0.70432746)]]
1206.jpg	[[[[228.0, 160.0], [402.0, 89.0], [423.0, 138.0], [248.0, 209.0]], ('‘¡–Ï”Ê33666', 0.8720664)]]
1208.jpg	[[[[150.0, 276.0], [281.0, 317.0], [269.0, 357.0], [137.0, 316.0]], ('‘¡ƒœ∞ƒ”Ê24086', 0.7811069)]]
1209.jpg	[[[[242.0, 156.0], [344.0, 139.0], [347.0, 160.0], [246.0, 177.0]], ('‘¡—ÙŒ˜”Ê32668', 0.65335333)]]
1213.jpg	[[[[1.0, 523.0], [225.0, 512.0], [227.0, 548.0], [3.0, 559.0]], ('¬≥ Ÿ”Ê65267', 0.9898466)]]
1219.jpg	[[[[725.0, 191.0], [921.0, 158.0], [928.0, 196.0], [732.0, 228.0]], ('’„∂¥”Ê30065', 0.84203184)]]
1220.jpg	[[[[624.0, 252.0], [730.0, 235.0], [734.0, 259.0], [628.0, 276.0]], ('‘¡¿◊”Ê13388', 0.7604158)]]
1223.jpg	[[[[399.0, 197.0], [518.0, 191.0], [520.0, 225.0], [401.0, 232.0]], ('¬≥Ω∫”Ê60951', 0.84678656)]]
1234.jpg	[[[[193.0, 361.0], [384.0, 272.0], [409.0, 326.0], [218.0, 414.0]], ('¬≥Ω∫”Ê60076', 0.7223923)]]
1235.jpg	[[[[368.0, 202.0], [489.0, 190.0], [491.0, 212.0], [370.0, 224.0]], ('‘¡Ã®”Ê‘À01216', 0.7573693)]]
1242.jpg	[[[[212.0, 237.0], [433.0, 193.0], [441.0, 234.0], [221.0, 278.0]], ('√ˆΩ˙”Ê02155', 0.7591816)]]
1244.jpg	[[[[218.0, 633.0], [460.0, 638.0], [459.0, 675.0], [217.0, 669.0]], ('¬≥»Ÿ”Ê52268', 0.81880414)]]
1246.jpg	[[[[157.0, 151.0], [248.0, 143.0], [251.0, 165.0], [160.0, 173.0]], ('¬≥·∞”Ê60003', 0.71086985)]]
1249.jpg	[[[[151.0, 531.0], [346.0, 510.0], [351.0, 555.0], [156.0, 576.0]], ('¬≥Ω∫”Ê60632', 0.78684485)]]
1251.jpg	[[[[449.0, 219.0], [575.0, 200.0], [580.0, 232.0], [454.0, 251.0]], ('’„∂¥”Ê30065', 0.74660075)]]
1253.jpg	[[[[121.0, 269.0], [256.0, 299.0], [249.0, 330.0], [114.0, 300.0]], ('¬≥«‡–¬”Ê65828', 0.8626098)]]
1254.jpg	[[[[36.0, 313.0], [224.0, 368.0], [215.0, 400.0], [27.0, 345.0]], ('‘¡Ω≠≥«”Ê92298', 0.9842393)]]
1255.jpg	[[[[115.0, 522.0], [317.0, 540.0], [313.0, 584.0], [111.0, 566.0]], ('«ÌŸŸ”Ê19518', 0.76297194)]]
1258.jpg	[[[[246.0, 53.0], [403.0, 85.0], [394.0, 127.0], [238.0, 95.0]], ('‘¡µÁ”Ê92108', 0.9351157)]]
1261.jpg	[[[[349.0, 424.0], [587.0, 402.0], [590.0, 439.0], [352.0, 461.0]], ('¡…”™”Ê26111', 0.9864119)]]
1262.jpg	[[[[205.0, 330.0], [492.0, 292.0], [501.0, 353.0], [213.0, 391.0]], ('’„œÛ”Ê04012', 0.854818)]]
1265.jpg	[[[[51.0, 224.0], [222.0, 237.0], [219.0, 273.0], [48.0, 260.0]], ('¬≥≥«”Ê60117', 0.9314962)]]
1266.jpg	[[[[53.0, 343.0], [386.0, 413.0], [374.0, 471.0], [41.0, 401.0]], ('√ˆ ®”Ê07568', 0.87751704)]]
1268.jpg	[[[[122.0, 438.0], [174.0, 433.0], [201.0, 674.0], [149.0, 680.0]], ('¬≥≥«”Ê60129', 0.9554266)]]
1278.jpg	[[[[257.0, 371.0], [391.0, 355.0], [394.0, 382.0], [261.0, 398.0]], ('÷–π˙”Ê’˛37078', 0.8748667)]]
1282.jpg	[[[[390.0, 479.0], [539.0, 463.0], [543.0, 502.0], [394.0, 518.0]], ('’„∆’”Ê68981', 0.6766667)]]
1284.jpg	[[[[124.0, 632.0], [449.0, 557.0], [467.0, 635.0], [142.0, 710.0]], ('’„œÛ”Ê40137', 0.7526398)]]
1288.jpg	[[[[380.0, 243.0], [533.0, 217.0], [538.0, 249.0], [385.0, 274.0]], ('¬≥∂´∏€”Ê61001', 0.84526724)]]
1290.jpg	[[[[37.0, 177.0], [479.0, 271.0], [465.0, 337.0], [23.0, 243.0]], ('¬≥»’…Ω”Ê61219', 0.99207675)]]
1291.jpg	[[[[257.0, 300.0], [416.0, 334.0], [409.0, 369.0], [249.0, 334.0]], ('À’∏””Ê02033', 0.89987326)]]
1293.jpg	[[[[213.0, 61.0], [385.0, 92.0], [378.0, 130.0], [206.0, 98.0]], ('À’∏””Ê04490', 0.97946775)]]
1294.jpg	[[[[279.0, 224.0], [438.0, 196.0], [444.0, 229.0], [285.0, 257.0]], ('¡…µ§”Ê23088', 0.5708516)]]
1296.jpg	[[[[303.0, 571.0], [464.0, 584.0], [459.0, 646.0], [298.0, 634.0]], ('∂´Ω≠∫˛7∫≈', 0.7828101)]]
1297.jpg	[[[[38.0, 84.0], [181.0, 167.0], [160.0, 202.0], [17.0, 119.0]], ('À’∏””Ê02492', 0.94054043)]]
1299.jpg	[[[[213.0, 328.0], [384.0, 340.0], [382.0, 378.0], [211.0, 367.0]], ('‘¡µÁ”Ê92108', 0.92878973)]]
1301.jpg	[[[[338.0, 510.0], [557.0, 621.0], [522.0, 691.0], [304.0, 580.0]], ('’„¡Î”Ê23701', 0.83650506)]]
1305.jpg	[[[[399.0, 307.0], [519.0, 363.0], [499.0, 406.0], [379.0, 349.0]], ('’„¡Î”Ê23923', 0.7476063)]]
1307.jpg	[[[[194.0, 388.0], [317.0, 390.0], [316.0, 424.0], [194.0, 421.0]], ('‘¡Ã®”Ê11333', 0.9555664)]]
1308.jpg	[[[[60.0, 130.0], [236.0, 186.0], [225.0, 222.0], [49.0, 165.0]], ('À’∏””Ê01668', 0.8243567)]]
1309.jpg	[[[[214.0, 261.0], [362.0, 286.0], [357.0, 316.0], [209.0, 292.0]], ('À’∆Ù”Ê02321', 0.9201782)]]
1313.jpg	[[[[51.0, 462.0], [405.0, 430.0], [408.0, 468.0], [55.0, 500.0]], ('¡…Ωı”Ê15676', 0.83135605)]]
1314.jpg	[[[[56.0, 112.0], [125.0, 125.0], [122.0, 142.0], [53.0, 129.0]], ('«Ì¡Ÿ”Ê03366', 0.73285604)]]
1316.jpg	[[[[73.0, 463.0], [191.0, 474.0], [188.0, 499.0], [70.0, 489.0]], ('¬≥»’…Ω”Ê61015', 0.8844995)]]
1319.jpg	[[[[24.0, 247.0], [338.0, 336.0], [321.0, 395.0], [7.0, 305.0]], ('‘¡Ã®”Ê18126', 0.988992)]]
1321.jpg	[[[[360.0, 354.0], [464.0, 330.0], [470.0, 358.0], [366.0, 382.0]], ('‘¡Ω≠≥«”Ê92278', 0.92583096)]]
1324.jpg	[[[[74.0, 523.0], [263.0, 540.0], [260.0, 575.0], [71.0, 558.0]], ('À’∏””Ê02022', 0.8853478)]]
1325.jpg	[[[[93.0, 420.0], [296.0, 522.0], [274.0, 568.0], [71.0, 465.0]], ('√ˆΩ˙”Ê05668', 0.92664015)]]
1327.jpg	[[[[62.0, 514.0], [203.0, 493.0], [207.0, 520.0], [66.0, 540.0]], ('¬≥·¿”Ê72888', 0.81781733)]]
1331.jpg	[[[[369.0, 275.0], [497.0, 321.0], [479.0, 374.0], [351.0, 328.0]], ('‘¡¿◊”Ê13888', 0.79095495)]]
1332.jpg	[[[[295.0, 455.0], [938.0, 408.0], [949.0, 560.0], [306.0, 599.0]], ('’„·∑”Ê03217', 0.5868247)]]
1333.jpg	[[[[222.0, 402.0], [294.0, 408.0], [291.0, 435.0], [220.0, 429.0]], ('¬≥Õ˛”Ê0818', 0.5958397)]]
1337.jpg	[[[[156.0, 412.0], [355.0, 384.0], [360.0, 421.0], [162.0, 449.0]], ('‘¡…«Œ≤”Ê12118', 0.8627717)]]
1340.jpg	[[[[118.0, 192.0], [310.0, 160.0], [314.0, 182.0], [122.0, 215.0]], ('¡…Ωı”Ê15686', 0.7602238)]]
1348.jpg	[[[[128.0, 182.0], [207.0, 187.0], [206.0, 204.0], [127.0, 199.0]], ('÷–π˙”Ê’˛46012', 0.9454758)]]
1349.jpg	[[[[295.0, 264.0], [411.0, 241.0], [416.0, 264.0], [300.0, 287.0]], ('¬≥·¿”Ê61818', 0.81058097)]]
1350.jpg	[[[[215.0, 241.0], [312.0, 219.0], [318.0, 246.0], [221.0, 269.0]], ('À’»Á”Ê09129', 0.84059453)]]
1352.jpg	[[[[166.0, 538.0], [304.0, 515.0], [310.0, 548.0], [172.0, 572.0]], ('‘¡µÁ”Ê04138', 0.9741813)]]
1354.jpg	[[[[146.0, 441.0], [293.0, 492.0], [278.0, 536.0], [130.0, 484.0]], ('√ˆœº”Ê09771', 0.67346543)]]
1356.jpg	[[[[166.0, 369.0], [316.0, 392.0], [311.0, 425.0], [161.0, 403.0]], ('’„œÛ”Ê48083', 0.61553323)]]
1357.jpg	[[[[47.0, 200.0], [210.0, 225.0], [203.0, 273.0], [39.0, 248.0]], ('–¬”Ò”Ê11688', 0.6642517)]]
1358.jpg	[[[[186.0, 220.0], [421.0, 161.0], [438.0, 227.0], [203.0, 286.0]], ('À’∂´Ã®µ¿10588', 0.7683322)]]
1360.jpg	[[[[39.0, 95.0], [209.0, 137.0], [199.0, 176.0], [29.0, 134.0]], ('‘¡—ÙŒ˜”Ê32183', 0.72202027)]]
1365.jpg	[[[[262.0, 341.0], [381.0, 363.0], [377.0, 387.0], [258.0, 365.0]], ('À’∏””Ê02539', 0.95990014)]]
1371.jpg	[[[[387.0, 266.0], [515.0, 262.0], [516.0, 294.0], [388.0, 297.0]], ('À’∆Ù”Ê‘À08266', 0.95706856)]]
1372.jpg	[[[[119.0, 133.0], [215.0, 121.0], [218.0, 142.0], [121.0, 154.0]], ('¬≥·∞”Ê60099', 0.7886336)]]
1373.jpg	[[[[10.0, 434.0], [429.0, 498.0], [415.0, 591.0], [0.0, 527.0]], ('’„¡Î”Ê23701', 0.9615437)]]
1374.jpg	[[[[276.0, 483.0], [498.0, 449.0], [505.0, 496.0], [284.0, 531.0]], ('À’»Á”Ê09129', 0.9827089)]]
1379.jpg	[[[[329.0, 338.0], [457.0, 329.0], [459.0, 353.0], [331.0, 362.0]], ('÷–π˙”Ê’˛37078', 0.88245505)]]
1380.jpg	[[[[132.0, 261.0], [441.0, 261.0], [441.0, 323.0], [132.0, 323.0]], ('’„¡Î”Ê74096', 0.55501676)]]
1381.jpg	[[[[33.0, 316.0], [317.0, 340.0], [311.0, 410.0], [27.0, 387.0]], ('√ˆ∆’”Ê05155', 0.76968)]]
1387.jpg	[[[[165.0, 277.0], [395.0, 311.0], [389.0, 357.0], [159.0, 324.0]], ('¬≥¿≥÷›”Ê66379', 0.9465497)]]
1388.jpg	[[[[163.0, 452.0], [328.0, 468.0], [325.0, 499.0], [160.0, 483.0]], ('‘¡ƒœ∞ƒ”Ê33190', 0.82972497)]]
1389.jpg	[[[[446.0, 223.0], [631.0, 248.0], [626.0, 286.0], [441.0, 260.0]], ('ΩÚÃ¡”Ê03896', 0.93941003)]]
1398.jpg	[[[[175.0, 385.0], [556.0, 404.0], [552.0, 482.0], [171.0, 463.0]], ('’„œÛ”Ê40058', 0.9635209)]]
1399.jpg	[[[[157.0, 270.0], [323.0, 307.0], [314.0, 350.0], [148.0, 313.0]], ('¬≥Ω∫”Ê60716', 0.8627022)]]
1401.jpg	[[[[326.0, 144.0], [452.0, 115.0], [460.0, 153.0], [335.0, 182.0]], ('π±±”Ê63166', 0.8399798)]]
1403.jpg	[[[[134.0, 314.0], [305.0, 327.0], [303.0, 362.0], [131.0, 349.0]], ('’„¡Ÿ”Ê21228', 0.94281757)]]
1404.jpg	[[[[119.0, 156.0], [212.0, 148.0], [214.0, 170.0], [121.0, 178.0]], ('«Ì¿÷”Ê16688', 0.7877799)]]
1406.jpg	[[[[224.0, 235.0], [398.0, 252.0], [394.0, 292.0], [220.0, 275.0]], ('À’∏””Ê04490', 0.93292737)]]
1408.jpg	[[[[74.0, 406.0], [373.0, 417.0], [371.0, 471.0], [72.0, 460.0]], ('√ˆ ®”Ê06537', 0.9641235)]]
1409.jpg	[[[[258.0, 426.0], [482.0, 370.0], [493.0, 415.0], [269.0, 471.0]], ('¬≥»Ÿ”Ê57059', 0.9607446)]]
1413.jpg	[[[[0.0, 343.0], [358.0, 172.0], [396.0, 255.0], [23.0, 426.0]], ('¡…”™”Ê36222', 0.8749388)]]
1414.jpg	[[[[232.0, 450.0], [427.0, 468.0], [424.0, 508.0], [229.0, 490.0]], ('¬≥≥«”Ê60026', 0.98276126)]]
1415.jpg	[[[[100.0, 415.0], [472.0, 483.0], [459.0, 551.0], [88.0, 483.0]], ('’„∑Ó”Ê‘À00228', 0.71861196)]]
1416.jpg	[[[[194.0, 298.0], [437.0, 367.0], [425.0, 408.0], [182.0, 339.0]], ('√ˆΩ˙”Ê05761', 0.83916783)]]
1418.jpg	[[[[42.0, 273.0], [208.0, 296.0], [203.0, 327.0], [38.0, 304.0]], ('À’¥Û”Ê—¯08109', 0.9728655)]]
1420.jpg	[[[[87.0, 123.0], [189.0, 135.0], [187.0, 154.0], [85.0, 143.0]], ('‘¡ƒœ∞ƒ”Ê33169', 0.90171486)]]
1422.jpg	[[[[58.0, 689.0], [419.0, 667.0], [423.0, 727.0], [62.0, 749.0]], ('¬≥≥«”Ê60578', 0.7864897)]]
1424.jpg	[[[[16.0, 293.0], [199.0, 330.0], [192.0, 367.0], [8.0, 330.0]], ('À’∏””Ê02033', 0.9891187)]]
1426.jpg	[[[[246.0, 179.0], [503.0, 300.0], [477.0, 354.0], [221.0, 233.0]], ('√ˆ ®”Ê07870', 0.73291755)]]
1428.jpg	[[[[256.0, 230.0], [358.0, 247.0], [354.0, 268.0], [253.0, 252.0]], ('À’∆Ù”Ê02321', 0.83663917)]]
1432.jpg	[[[[186.0, 730.0], [528.0, 693.0], [534.0, 747.0], [192.0, 784.0]], ('¬≥≥«”Ê—¯65001', 0.9054048)]]
1433.jpg	[[[[109.0, 110.0], [291.0, 159.0], [280.0, 201.0], [98.0, 152.0]], ('À’∏””Ê02778', 0.97802144)]]
1435.jpg	[[[[328.0, 236.0], [440.0, 254.0], [435.0, 283.0], [324.0, 265.0]], ('¬≥≥«”Ê60129', 0.8464853)]]
1436.jpg	[[[[734.0, 414.0], [953.0, 387.0], [958.0, 424.0], [738.0, 451.0]], ('√ˆΩ˙”Ê05918', 0.84277225)]]
1439.jpg	[[[[162.0, 482.0], [388.0, 507.0], [383.0, 549.0], [157.0, 524.0]], ('¬≥≥«”Ê60026', 0.9915401)]]
1446.jpg	[[[[45.0, 29.0], [226.0, 36.0], [224.0, 71.0], [43.0, 63.0]], ('π∫œ”Ê23186', 0.71661097)]]
1450.jpg	[[[[33.0, 312.0], [148.0, 329.0], [145.0, 348.0], [30.0, 331.0]], ('¬≥»’…Ω”Ê61079', 0.8919217)]]
1452.jpg	[[[[470.0, 214.0], [605.0, 184.0], [612.0, 211.0], [476.0, 241.0]], ('√ˆ¡˙”Ê63159', 0.96811914)]]
1454.jpg	[[[[352.0, 205.0], [490.0, 275.0], [465.0, 322.0], [327.0, 253.0]], ('∫”±±8598', 0.98472947)]]
1455.jpg	[[[[452.0, 470.0], [649.0, 443.0], [654.0, 482.0], [457.0, 508.0]], ('√ˆΩ˙”Ê05918', 0.8073791)]]
1456.jpg	[[[[291.0, 172.0], [465.0, 138.0], [472.0, 173.0], [298.0, 207.0]], ('¡…”™”Ê26655', 0.94101155)]]
1457.jpg	[[[[268.0, 428.0], [385.0, 402.0], [392.0, 433.0], [276.0, 460.0]], ('√ˆ ®”Ê06381', 0.8021833)]]
1459.jpg	[[[[234.0, 211.0], [372.0, 240.0], [364.0, 279.0], [226.0, 249.0]], ('¬≥Ω∫”Ê60716', 0.80943274)]]
1461.jpg	[[[[93.0, 378.0], [316.0, 442.0], [305.0, 480.0], [82.0, 416.0]], ('¬≥≥«”Ê62435', 0.92602885)]]
1462.jpg	[[[[94.0, 334.0], [339.0, 378.0], [329.0, 434.0], [84.0, 390.0]], ('¬≥Ω∫”Ê62138', 0.80883175)]]
1463.jpg	[[[[459.0, 155.0], [577.0, 135.0], [582.0, 167.0], [464.0, 187.0]], ('∏£‘∂”Ê8511', 0.7427276)]]
1464.jpg	[[[[431.0, 339.0], [618.0, 370.0], [612.0, 403.0], [425.0, 372.0]], ('’„∆’”Ê66001', 0.87064934)]]
1465.jpg	[[[[24.0, 460.0], [439.0, 496.0], [431.0, 588.0], [16.0, 552.0]], ('’„¡Î”Ê23701', 0.87860346)]]
1466.jpg	[[[[30.0, 227.0], [253.0, 293.0], [240.0, 336.0], [17.0, 271.0]], ('√ˆ ®”Ê07586', 0.92187726)]]
1467.jpg	[[[[38.0, 465.0], [233.0, 499.0], [226.0, 535.0], [32.0, 501.0]], ('¬≥≥«”Ê62429', 0.99425584)]]
1468.jpg	[[[[241.0, 215.0], [679.0, 209.0], [680.0, 277.0], [242.0, 283.0]], ('¬≥»’…Ω”Ê61008', 0.96472645)]]
1469.jpg	[[[[133.0, 332.0], [515.0, 240.0], [526.0, 288.0], [144.0, 380.0]], ('¡…Ωı”Ê15676', 0.7782764)]]
1470.jpg	[[[[251.0, 418.0], [481.0, 414.0], [481.0, 456.0], [252.0, 461.0]], ('’„œÛ”Ê40167', 0.97130907)]]
1473.jpg	[[[[260.0, 408.0], [488.0, 443.0], [480.0, 496.0], [252.0, 461.0]], ('’„œÛ”Ê50085', 0.7304629)]]
1476.jpg	[[[[263.0, 360.0], [386.0, 397.0], [376.0, 429.0], [253.0, 393.0]], ('À’∏””Ê02778', 0.8888675)]]
1481.jpg	[[[[88.0, 391.0], [224.0, 394.0], [223.0, 426.0], [88.0, 424.0]], ('‘¡—ÙŒ˜”Ê‘À01748', 0.80230224)]]
1483.jpg	[[[[122.0, 150.0], [270.0, 110.0], [277.0, 136.0], [129.0, 176.0]], ('¡…”™”Ê‘À36006', 0.9622289)]]
1484.jpg	[[[[249.0, 499.0], [414.0, 468.0], [422.0, 513.0], [258.0, 544.0]], ('¬≥·¿”Ê63757', 0.8098342)]]
1485.jpg	[[[[103.0, 230.0], [312.0, 325.0], [284.0, 385.0], [76.0, 291.0]], ('¬≥»’…Ω”Ê67907', 0.89396095)]]
1489.jpg	[[[[401.0, 68.0], [508.0, 120.0], [491.0, 155.0], [384.0, 103.0]], ('¬≥·∞”Ê63311', 0.7157668)]]
1491.jpg	[[[[168.0, 362.0], [348.0, 399.0], [341.0, 435.0], [161.0, 399.0]], ('’„·∑”Ê06356', 0.6725636)]]
1492.jpg	[[[[709.0, 287.0], [950.0, 323.0], [944.0, 361.0], [704.0, 324.0]], ('’„·””Ê05823', 0.7615853)]]
1493.jpg	[[[[74.0, 240.0], [295.0, 195.0], [303.0, 235.0], [82.0, 281.0]], ('√ˆΩ˙”Ê02155', 0.93712914)]]
1495.jpg	[[[[264.0, 152.0], [374.0, 201.0], [356.0, 239.0], [246.0, 191.0]], ('’„¡Î”Ê23923', 0.75413156)]]
1496.jpg	[[[[333.0, 437.0], [491.0, 419.0], [495.0, 453.0], [337.0, 472.0]], ('‘¡ƒœ∞ƒ”Ê12094', 0.820327)]]
1497.jpg	[[[[267.0, 267.0], [438.0, 322.0], [424.0, 364.0], [253.0, 309.0]], ('√ˆ’ƒ”Ê60208', 0.8871056)]]
1498.jpg	[[[[364.0, 394.0], [501.0, 378.0], [504.0, 405.0], [367.0, 421.0]], ('÷–π˙”Ê’˛37078', 0.90281)]]
1500.jpg	[[[[291.0, 485.0], [519.0, 450.0], [526.0, 501.0], [298.0, 535.0]], ('À’»Á”Ê09129', 0.9780073)]]
1502.jpg	[[[[177.0, 389.0], [330.0, 420.0], [321.0, 461.0], [168.0, 430.0]], ('¬≥Ω∫”Ê60716', 0.77677995)]]
1504.jpg	[[[[83.0, 231.0], [229.0, 223.0], [230.0, 249.0], [85.0, 258.0]], ('¬≥»’…Ω”Ê61099', 0.854329)]]
1511.jpg	[[[[171.0, 266.0], [313.0, 246.0], [317.0, 274.0], [175.0, 295.0]], ('‘¡√Ø±ı”Ê46033', 0.8694933)]]
1514.jpg	[[[[314.0, 328.0], [416.0, 267.0], [437.0, 301.0], [336.0, 363.0]], ('÷€‘∂”Ê2608', 0.6291378)]]
1515.jpg	[[[[317.0, 479.0], [532.0, 448.0], [538.0, 488.0], [323.0, 519.0]], ('‘¡ƒœ∞ƒ”Ê12094', 0.8864374)]]
1516.jpg	[[[[78.0, 104.0], [249.0, 152.0], [238.0, 191.0], [67.0, 142.0]], ('À’∏””Ê04490', 0.9721551)]]
1517.jpg	[[[[66.0, 224.0], [257.0, 247.0], [253.0, 279.0], [62.0, 257.0]], ('¬≥≥«”Ê60682', 0.829085)]]
1518.jpg	[[[[128.0, 229.0], [212.0, 210.0], [223.0, 258.0], [139.0, 276.0]], ('∫£Î‡707', 0.5897736)]]
1522.jpg	[[[[224.0, 352.0], [364.0, 335.0], [368.0, 366.0], [228.0, 384.0]], ('‘¡√Ø±ıµ¿46033', 0.76526356)]]
1526.jpg	[[[[61.0, 128.0], [230.0, 223.0], [202.0, 273.0], [33.0, 179.0]], ('‘¡Ã®”Ê13888', 0.8520565)]]
1527.jpg	[[[[102.0, 88.0], [211.0, 98.0], [207.0, 132.0], [99.0, 122.0]], ('»Û¥Ô610', 0.84617585)]]
1528.jpg	[[[[281.0, 418.0], [413.0, 403.0], [416.0, 431.0], [285.0, 447.0]], ('¬≥≥«”Ê60869', 0.9242203)]]
1529.jpg	[[[[383.0, 383.0], [486.0, 365.0], [490.0, 386.0], [387.0, 404.0]], ('√ˆΩ˙”Ê05862', 0.86945033)]]
1530.jpg	[[[[363.0, 117.0], [481.0, 137.0], [474.0, 176.0], [356.0, 156.0]], ('72016∫£∏€∂´¬≥', 0.76600844)]]
1531.jpg	[[[[109.0, 521.0], [415.0, 457.0], [433.0, 544.0], [128.0, 608.0]], ('’„≤‘”Ê08118', 0.65538025)]]
1532.jpg	[[[[165.0, 166.0], [246.0, 198.0], [236.0, 226.0], [155.0, 194.0]], ('‘¡–¬ª·”Ê20096', 0.65386844)]]
1533.jpg	[[[[186.0, 205.0], [292.0, 216.0], [290.0, 239.0], [184.0, 229.0]], ('‘¡µÁ”Ê92108', 0.85077393)]]
1534.jpg	[[[[76.0, 178.0], [180.0, 183.0], [179.0, 197.0], [75.0, 193.0]], ('÷–π˙”Ê’˛37357', 0.900736)]]
1535.jpg	[[[[11.0, 65.0], [127.0, 65.0], [127.0, 98.0], [11.0, 98.0]], ('√ˆΩ˙”Ê05966', 0.8183338)]]
1538.jpg	[[[[236.0, 468.0], [336.0, 472.0], [335.0, 493.0], [235.0, 489.0]], ('À’∫£√≈”Ê01928', 0.98814267)]]
1539.jpg	[[[[161.0, 398.0], [357.0, 427.0], [351.0, 463.0], [156.0, 433.0]], ('¬≥Ω∫”Ê60010', 0.99088573)]]
1541.jpg	[[[[321.0, 124.0], [519.0, 148.0], [514.0, 188.0], [316.0, 163.0]], ('¬≥≥«”Ê60129', 0.99191356)]]
1542.jpg	[[[[170.0, 418.0], [309.0, 429.0], [307.0, 461.0], [168.0, 450.0]], ('√ˆ≥§”Ê23266', 0.762295)]]
1544.jpg	[[[[531.0, 316.0], [709.0, 278.0], [715.0, 308.0], [537.0, 346.0]], ('¬≥∂´∏€”Ê63250', 0.67536473)]]
1546.jpg	[[[[185.0, 608.0], [491.0, 662.0], [484.0, 706.0], [177.0, 652.0]], ('‘¡…«Œ≤”„–›01439', 0.9545493)]]
1547.jpg	[[[[546.0, 307.0], [709.0, 288.0], [713.0, 321.0], [550.0, 340.0]], ('√ˆΩ˙”Ê05692', 0.78369755)]]
1549.jpg	[[[[170.0, 606.0], [463.0, 566.0], [470.0, 617.0], [177.0, 657.0]], ('√ˆ ®”Ê05277', 0.9489198)]]
1550.jpg	[[[[85.0, 250.0], [353.0, 316.0], [343.0, 359.0], [75.0, 293.0]], ('√ˆ∆’”Ê05761', 0.89135396)]]
1551.jpg	[[[[163.0, 80.0], [254.0, 87.0], [252.0, 106.0], [162.0, 99.0]], ('’„»”Ê02110', 0.95175934)]]
1556.jpg	[[[[247.0, 216.0], [522.0, 199.0], [525.0, 242.0], [250.0, 259.0]], ('¬≥Ω∫ƒœ”Ê70116', 0.9628424)]]
